Legend,noProfiling,withProfilingOff,withProfilingOn,withLirReorderOff,withLirReorderOn,ReorderOn-noProfiling,ProfilingOn-noProfiling
Total:,159.9,161.8,160.9,160.4,162.1,2.2,1
,,,,,,,
3d:,26.3,26.4,26.5,26.4,26.6,0.3,0.2
cube:,10.9,11,11,11,11.1,0.2,0.1
morph:,4.4,4.5,4.4,4.4,4.4,0,0
raytrace:,11,10.9,11.1,11.1,11.1,0.1,0.1
,,,,,,,
access:,12.7,13.7,13,12.8,13.1,0.4,0.3
binary-trees:,2.2,2.2,2.3,2.2,2.3,0.1,0.1
fannkuch:,5.3,6,5.5,5.4,5.5,0.2,0.2
nbody:,2.8,2.8,2.8,2.8,2.8,0,0
nsieve:,2.4,2.7,2.4,2.4,2.4,0,0
,,,,,,,
bitops:,7.9,8.1,7.9,7.9,8.6,0.7,0
3bit-bits-in-byte:,1,1,1,1,1,0,0
bits-in-byte:,2.1,2.1,2.1,2.1,2.6,0.5,0
bitwise-and:,1.7,1.6,1.7,1.7,1.8,0.1,0
nsieve-bits:,3.1,3.4,3.1,3.1,3.2,0.1,0
,,,,,,,
controlflow:,2,2,2,2,2.1,0.1,0
recursive:,2,2,2,2,2.1,0.1,0
,,,,,,,
crypto:,13.5,13.7,13.6,13.6,13.7,0.2,0.1
aes:,6.7,6.8,6.8,6.7,6.8,0.1,0.1
md5:,3.9,3.9,3.9,3.9,3.9,0,0
sha1:,3,3.1,3,3,3,0,0
,,,,,,,
date:,20.9,20.6,21,21,21.2,0.3,0.1
format-tofte:,10.5,10.4,10.6,10.6,10.7,0.2,0.1
format-xparb:,10.4,10.1,10.4,10.4,10.4,0,0
,,,,,,,
math:,13.5,13.7,13.5,13.6,13.6,0.1,0
cordic:,2.5,2.7,2.5,2.5,2.6,0.1,0
Partial-sums:,9,9,9,9,8.9,-0.1,0
spectral-norm:,2,2,2,2,2.1,0.1,0
,,,,,,,
regexp:,13.6,13.6,13.6,13.6,13.6,0,0
dna:,13.6,13.6,13.6,13.6,13.6,0,0
,,,,,,,
string:,49.3,49.9,49.7,49.5,49.7,0.4,0.4
base64:,5,5.4,5,5,5,0,0
fasta:,5.7,5.7,5.7,5.7,5.8,0.1,0
tagcloud:,14.2,14.6,14.4,14.4,14.3,0.1,0.2
unpack-code:,19.3,19.1,19.5,19.3,19.5,0.2,0.2
validate-input:,5.1,5.1,5.1,5.1,5.1,0,0
